time,XRHand_IndexMetacarpal_x,XRHand_IndexMetacarpal_y,XRHand_IndexMetacarpal_z,XRHand_IndexMetacarpal_qx,XRHand_IndexMetacarpal_qy,XRHand_IndexMetacarpal_qz,XRHand_IndexMetacarpal_qw,XRHand_IndexProximal_x,XRHand_IndexProximal_y,XRHand_IndexProximal_z,XRHand_IndexProximal_qx,XRHand_IndexProximal_qy,XRHand_IndexProximal_qz,XRHand_IndexProximal_qw,XRHand_IndexIntermediate_x,XRHand_IndexIntermediate_y,XRHand_IndexIntermediate_z,XRHand_IndexIntermediate_qx,XRHand_IndexIntermediate_qy,XRHand_IndexIntermediate_qz,XRHand_IndexIntermediate_qw,XRHand_IndexDistal_x,XRHand_IndexDistal_y,XRHand_IndexDistal_z,XRHand_IndexDistal_qx,XRHand_IndexDistal_qy,XRHand_IndexDistal_qz,XRHand_IndexDistal_qw,XRHand_IndexTip_x,XRHand_IndexTip_y,XRHand_IndexTip_z,XRHand_IndexTip_qx,XRHand_IndexTip_qy,XRHand_IndexTip_qz,XRHand_IndexTip_qw,XRHand_LittleMetacarpal_x,XRHand_LittleMetacarpal_y,XRHand_LittleMetacarpal_z,XRHand_LittleMetacarpal_qx,XRHand_LittleMetacarpal_qy,XRHand_LittleMetacarpal_qz,XRHand_LittleMetacarpal_qw,XRHand_LittleProximal_x,XRHand_LittleProximal_y,XRHand_LittleProximal_z,XRHand_LittleProximal_qx,XRHand_LittleProximal_qy,XRHand_LittleProximal_qz,XRHand_LittleProximal_qw,XRHand_LittleIntermediate_x,XRHand_LittleIntermediate_y,XRHand_LittleIntermediate_z,XRHand_LittleIntermediate_qx,XRHand_LittleIntermediate_qy,XRHand_LittleIntermediate_qz,XRHand_LittleIntermediate_qw,XRHand_LittleDistal_x,XRHand_LittleDistal_y,XRHand_LittleDistal_z,XRHand_LittleDistal_qx,XRHand_LittleDistal_qy,XRHand_LittleDistal_qz,XRHand_LittleDistal_qw,XRHand_LittleTip_x,XRHand_LittleTip_y,XRHand_LittleTip_z,XRHand_LittleTip_qx,XRHand_LittleTip_qy,XRHand_LittleTip_qz,XRHand_LittleTip_qw,XRHand_MiddleMetacarpal_x,XRHand_MiddleMetacarpal_y,XRHand_MiddleMetacarpal_z,XRHand_MiddleMetacarpal_qx,XRHand_MiddleMetacarpal_qy,XRHand_MiddleMetacarpal_qz,XRHand_MiddleMetacarpal_qw,XRHand_MiddleProximal_x,XRHand_MiddleProximal_y,XRHand_MiddleProximal_z,XRHand_MiddleProximal_qx,XRHand_MiddleProximal_qy,XRHand_MiddleProximal_qz,XRHand_MiddleProximal_qw,XRHand_MiddleIntermediate_x,XRHand_MiddleIntermediate_y,XRHand_MiddleIntermediate_z,XRHand_MiddleIntermediate_qx,XRHand_MiddleIntermediate_qy,XRHand_MiddleIntermediate_qz,XRHand_MiddleIntermediate_qw,XRHand_MiddleDistal_x,XRHand_MiddleDistal_y,XRHand_MiddleDistal_z,XRHand_MiddleDistal_qx,XRHand_MiddleDistal_qy,XRHand_MiddleDistal_qz,XRHand_MiddleDistal_qw,XRHand_MiddleTip_x,XRHand_MiddleTip_y,XRHand_MiddleTip_z,XRHand_MiddleTip_qx,XRHand_MiddleTip_qy,XRHand_MiddleTip_qz,XRHand_MiddleTip_qw,XRHand_Palm_x,XRHand_Palm_y,XRHand_Palm_z,XRHand_Palm_qx,XRHand_Palm_qy,XRHand_Palm_qz,XRHand_Palm_qw,XRHand_RingMetacarpal_x,XRHand_RingMetacarpal_y,XRHand_RingMetacarpal_z,XRHand_RingMetacarpal_qx,XRHand_RingMetacarpal_qy,XRHand_RingMetacarpal_qz,XRHand_RingMetacarpal_qw,XRHand_RingProximal_x,XRHand_RingProximal_y,XRHand_RingProximal_z,XRHand_RingProximal_qx,XRHand_RingProximal_qy,XRHand_RingProximal_qz,XRHand_RingProximal_qw,XRHand_RingIntermediate_x,XRHand_RingIntermediate_y,XRHand_RingIntermediate_z,XRHand_RingIntermediate_qx,XRHand_RingIntermediate_qy,XRHand_RingIntermediate_qz,XRHand_RingIntermediate_qw,XRHand_RingDistal_x,XRHand_RingDistal_y,XRHand_RingDistal_z,XRHand_RingDistal_qx,XRHand_RingDistal_qy,XRHand_RingDistal_qz,XRHand_RingDistal_qw,XRHand_RingTip_x,XRHand_RingTip_y,XRHand_RingTip_z,XRHand_RingTip_qx,XRHand_RingTip_qy,XRHand_RingTip_qz,XRHand_RingTip_qw,XRHand_ThumbMetacarpal_x,XRHand_ThumbMetacarpal_y,XRHand_ThumbMetacarpal_z,XRHand_ThumbMetacarpal_qx,XRHand_ThumbMetacarpal_qy,XRHand_ThumbMetacarpal_qz,XRHand_ThumbMetacarpal_qw,XRHand_ThumbProximal_x,XRHand_ThumbProximal_y,XRHand_ThumbProximal_z,XRHand_ThumbProximal_qx,XRHand_ThumbProximal_qy,XRHand_ThumbProximal_qz,XRHand_ThumbProximal_qw,XRHand_ThumbDistal_x,XRHand_ThumbDistal_y,XRHand_ThumbDistal_z,XRHand_ThumbDistal_qx,XRHand_ThumbDistal_qy,XRHand_ThumbDistal_qz,XRHand_ThumbDistal_qw,XRHand_ThumbTip_x,XRHand_ThumbTip_y,XRHand_ThumbTip_z,XRHand_ThumbTip_qx,XRHand_ThumbTip_qy,XRHand_ThumbTip_qz,XRHand_ThumbTip_qw
0.000000,-0.016542,0.026509,0.024864,0.038541,-0.158588,0.072759,0.983906,-0.024935,0.055153,0.078483,0.010212,0.172328,-0.050074,0.983713,-0.027052,0.070314,0.113184,0.003287,0.012198,-0.025853,0.999586,-0.028247,0.079711,0.135561,-0.072068,0.020174,-0.015902,0.997069,-0.027222,0.084902,0.145864,0.000001,0.002195,0.000000,0.999998,0.009593,-0.003142,0.040912,0.018309,0.140365,-0.207036,0.968039,0.014342,0.008056,0.084931,0.028202,-0.004874,0.091091,0.995431,0.015904,0.015084,0.114796,-0.013306,0.044007,-0.037610,0.998234,0.018286,0.018519,0.134672,-0.024019,-0.049407,0.000638,0.998490,0.019620,0.021799,0.146042,0.000000,-0.000739,0.000000,1.000000,0.000815,0.022653,0.028135,0.015148,-0.029561,-0.000725,0.999448,-0.005651,0.045365,0.084069,0.036385,0.079903,-0.010686,0.996081,-0.006652,0.060323,0.124295,-0.001997,0.004555,-0.011225,0.999925,-0.007041,0.069835,0.150147,-0.092967,0.007303,-0.034430,0.995047,-0.005490,0.075363,0.160916,0.000000,-0.003577,0.000000,0.999994,0.001134,0.028935,0.055746,0.000000,0.019156,0.000000,0.999817,0.007660,0.011936,0.032768,0.050160,0.129610,-0.052833,0.988885,0.005959,0.028204,0.085925,0.000000,-0.003875,0.000000,0.999993,0.008797,0.038033,0.123554,0.005742,-0.000626,-0.033621,0.999418,0.010597,0.044432,0.149285,-0.025034,-0.029504,-0.003432,0.999245,0.011463,0.048187,0.160585,-0.000001,0.000945,0.000000,1.000000,-0.034582,0.021141,0.028334,-0.004828,-0.377623,0.627202,0.681172,-0.057936,0.032310,0.048002,-0.083924,0.074026,-0.078604,0.990605,-0.081105,0.050485,0.064578,-0.058123,-0.064489,0.080223,0.992989,-0.092943,0.057615,0.070051,0.000001,0.000049,0.000000,1.000000
0.016667,-0.016540,0.026472,0.024904,0.038541,-0.158588,0.072759,0.983906,-0.024895,0.055071,0.078554,0.010212,0.172328,-0.050074,0.983713,-0.026983,0.070207,0.113267,0.003287,0.012198,-0.025853,0.999586,-0.028158,0.079588,0.135652,-0.072068,0.020174,-0.015902,0.997069,-0.027125,0.084773,0.145957,0.000001,0.002195,0.000000,0.999998,0.009653,-0.003157,0.040897,0.018309,0.140365,-0.207036,0.968039,0.014449,0.008019,0.084916,0.028202,-0.004874,0.091091,0.995431,0.016044,0.015029,0.114784,-0.013306,0.044007,-0.037610,0.998234,0.018449,0.018453,0.134659,-0.024019,-0.049407,0.000638,0.998490,0.019795,0.021728,0.146029,0.000000,-0.000739,0.000000,1.000000,0.000826,0.022636,0.028148,0.015148,-0.029561,-0.000725,0.999448,-0.005590,0.045303,0.084107,0.036385,0.079903,-0.010686,0.996081,-0.006555,0.060233,0.124343,-0.001997,0.004555,-0.011225,0.999925,-0.006919,0.069728,0.150203,-0.092967,0.007303,-0.034430,0.995047,-0.005360,0.075251,0.160973,0.000000,-0.003577,0.000000,0.999994,0.001175,0.028900,0.055763,0.000000,0.019156,0.000000,0.999817,0.007691,0.011924,0.032765,0.050160,0.129610,-0.052833,0.988885,0.006043,0.028156,0.085935,0.000000,-0.003875,0.000000,0.999993,0.008921,0.037963,0.123567,0.005742,-0.000626,-0.033621,0.999418,0.010749,0.044347,0.149299,-0.025034,-0.029504,-0.003432,0.999245,0.011625,0.048096,0.160601,-0.000001,0.000945,0.000000,1.000000,-0.034569,0.021080,0.028396,-0.004828,-0.377623,0.627202,0.681172,-0.057909,0.032208,0.048103,-0.083924,0.074026,-0.078604,0.990605,-0.081078,0.050343,0.064723,-0.058123,-0.064489,0.080223,0.992989,-0.092917,0.057455,0.070216,0.000001,0.000049,0.000000,1.000000
0.033333,-0.016535,0.026368,0.025018,0.038541,-0.158588,0.072759,0.983906,-0.024779,0.054839,0.078752,0.010212,0.172328,-0.050074,0.983713,-0.026784,0.069903,0.113502,0.003287,0.012198,-0.025853,0.999586,-0.027904,0.079239,0.135908,-0.072068,0.020174,-0.015902,0.997069,-0.026849,0.084409,0.146219,0.000001,0.002195,0.000000,0.999998,0.009824,-0.003198,0.040853,0.018309,0.140365,-0.207036,0.968039,0.014754,0.007913,0.084874,0.028202,-0.004874,0.091091,0.995431,0.016441,0.014874,0.114748,-0.013306,0.044007,-0.037610,0.998234,0.018912,0.018270,0.134620,-0.024019,-0.049407,0.000638,0.998490,0.020291,0.021529,0.145991,0.000000,-0.000739,0.000000,1.000000,0.000857,0.022587,0.028187,0.015148,-0.029561,-0.000725,0.999448,-0.005419,0.045129,0.084212,0.036385,0.079903,-0.010686,0.996081,-0.006278,0.059981,0.124479,-0.001997,0.004555,-0.011225,0.999925,-0.006574,0.069427,0.150357,-0.092967,0.007303,-0.034430,0.995047,-0.004993,0.074935,0.161131,0.000000,-0.003577,0.000000,0.999994,0.001293,0.028801,0.055812,0.000000,0.019156,0.000000,0.999817,0.007778,0.011891,0.032757,0.050160,0.129610,-0.052833,0.988885,0.006282,0.028019,0.085963,0.000000,-0.003875,0.000000,0.999993,0.009272,0.037767,0.123601,0.005742,-0.000626,-0.033621,0.999418,0.011179,0.044111,0.149338,-0.025034,-0.029504,-0.003432,0.999245,0.012086,0.047841,0.160643,-0.000001,0.000945,0.000000,1.000000,-0.034531,0.020906,0.028570,-0.004828,-0.377623,0.627202,0.681172,-0.057832,0.031916,0.048389,-0.083924,0.074026,-0.078604,0.990605,-0.081000,0.049939,0.065133,-0.058123,-0.064489,0.080223,0.992989,-0.092841,0.057000,0.070686,0.000001,0.000049,0.000000,1.000000
0.050000,-0.016526,0.026205,0.025194,0.038541,-0.158588,0.072759,0.983906,-0.024598,0.054477,0.079060,0.010212,0.172328,-0.050074,0.983713,-0.026472,0.069431,0.113865,0.003287,0.012198,-0.025853,0.999586,-0.027506,0.078696,0.136304,-0.072068,0.020174,-0.015902,0.997069,-0.026416,0.083843,0.146623,0.000001,0.002195,0.000000,0.999998,0.010092,-0.003260,0.040783,0.018309,0.140365,-0.207036,0.968039,0.015230,0.007753,0.084804,0.028202,-0.004874,0.091091,0.995431,0.017063,0.014638,0.114687,-0.013306,0.044007,-0.037610,0.998234,0.019637,0.017991,0.134553,-0.024019,-0.049407,0.000638,0.998490,0.021068,0.021225,0.145925,0.000000,-0.000739,0.000000,1.000000,0.000906,0.022511,0.028246,0.015148,-0.029561,-0.000725,0.999448,-0.005151,0.044858,0.084373,0.036385,0.079903,-0.010686,0.996081,-0.005845,0.059591,0.124687,-0.001997,0.004555,-0.011225,0.999925,-0.006034,0.068961,0.150594,-0.092967,0.007303,-0.034430,0.995047,-0.004417,0.074448,0.161374,0.000000,-0.003577,0.000000,0.999994,0.001476,0.028649,0.055886,0.000000,0.019156,0.000000,0.999817,0.007913,0.011841,0.032743,0.050160,0.129610,-0.052833,0.988885,0.006655,0.027808,0.086003,0.000000,-0.003875,0.000000,0.999993,0.009822,0.037466,0.123650,0.005742,-0.000626,-0.033621,0.999418,0.011852,0.043746,0.149393,-0.025034,-0.029504,-0.003432,0.999245,0.012808,0.047450,0.160703,-0.000001,0.000945,0.000000,1.000000,-0.034469,0.020634,0.028841,-0.004828,-0.377623,0.627202,0.681172,-0.057709,0.031458,0.048834,-0.083924,0.074026,-0.078604,0.990605,-0.080872,0.049305,0.065771,-0.058123,-0.064489,0.080223,0.992989,-0.092719,0.056284,0.071417,0.000001,0.000049,0.000000,1.000000
0.066667,-0.016514,0.025991,0.025423,0.038541,-0.158588,0.072759,0.983906,-0.024357,0.054005,0.079457,0.010212,0.172328,-0.050074,0.983713,-0.026061,0.068817,0.114331,0.003287,0.012198,-0.025853,0.999586,-0.026983,0.077991,0.136812,-0.072068,0.020174,-0.015902,0.997069,-0.025848,0.083108,0.147142,0.000001,0.002195,0.000000,0.999998,0.010442,-0.003337,0.040688,0.018309,0.140365,-0.207036,0.968039,0.015853,0.007551,0.084708,0.028202,-0.004874,0.091091,0.995431,0.017875,0.014340,0.114601,-0.013306,0.044007,-0.037610,0.998234,0.020584,0.017638,0.134459,-0.024019,-0.049407,0.000638,0.998490,0.022082,0.020841,0.145831,0.000000,-0.000739,0.000000,1.000000,0.000969,0.022412,0.028322,0.015148,-0.029561,-0.000725,0.999448,-0.004800,0.044509,0.084578,0.036385,0.079903,-0.010686,0.996081,-0.005277,0.059088,0.124952,-0.001997,0.004555,-0.011225,0.999925,-0.005327,0.068361,0.150894,-0.092967,0.007303,-0.034430,0.995047,-0.003663,0.073819,0.161681,0.000000,-0.003577,0.000000,0.999994,0.001716,0.028453,0.055979,0.000000,0.019156,0.000000,0.999817,0.008089,0.011777,0.032722,0.050160,0.129610,-0.052833,0.988885,0.007142,0.027539,0.086051,0.000000,-0.003875,0.000000,0.999993,0.010541,0.037081,0.123707,0.005742,-0.000626,-0.033621,0.999418,0.012731,0.043281,0.149456,-0.025034,-0.029504,-0.003432,0.999245,0.013751,0.046950,0.160772,-0.000001,0.000945,0.000000,1.000000,-0.034386,0.020276,0.029192,-0.004828,-0.377623,0.627202,0.681172,-0.057543,0.030857,0.049410,-0.083924,0.074026,-0.078604,0.990605,-0.080698,0.048472,0.066599,-0.058123,-0.064489,0.080223,0.992989,-0.092549,0.055344,0.072365,0.000001,0.000049,0.000000,1.000000
0.083333,-0.016496,0.025734,0.025694,0.038541,-0.158588,0.072759,0.983906,-0.024067,0.053443,0.079924,0.010212,0.172328,-0.050074,0.983713,-0.025567,0.068087,0.114878,0.003287,0.012198,-0.025853,0.999586,-0.026353,0.077156,0.137408,-0.072068,0.020174,-0.015902,0.997069,-0.025164,0.082237,0.147749,0.000001,0.002195,0.000000,0.999998,0.010859,-0.003422,0.040572,0.018309,0.140365,-0.207036,0.968039,0.016595,0.007321,0.084586,0.028202,-0.004874,0.091091,0.995431,0.018843,0.013997,0.114488,-0.013306,0.044007,-0.037610,0.998234,0.021713,0.017233,0.134334,-0.024019,-0.049407,0.000638,0.998490,0.023292,0.020398,0.145705,0.000000,-0.000739,0.000000,1.000000,0.001044,0.022297,0.028410,0.015148,-0.029561,-0.000725,0.999448,-0.004379,0.044096,0.084817,0.036385,0.079903,-0.010686,0.996081,-0.004598,0.058495,0.125257,-0.001997,0.004555,-0.011225,0.999925,-0.004481,0.067654,0.151240,-0.092967,0.007303,-0.034430,0.995047,-0.002762,0.073080,0.162035,0.000000,-0.003577,0.000000,0.999994,0.002003,0.028223,0.056086,0.000000,0.019156,0.000000,0.999817,0.008298,0.011705,0.032696,0.050160,0.129610,-0.052833,0.988885,0.007723,0.027226,0.086100,0.000000,-0.003875,0.000000,0.999993,0.011399,0.036633,0.123765,0.005742,-0.000626,-0.033621,0.999418,0.013780,0.042740,0.149519,-0.025034,-0.029504,-0.003432,0.999245,0.014877,0.046369,0.160841,-0.000001,0.000945,0.000000,1.000000,-0.034281,0.019847,0.029608,-0.004828,-0.377623,0.627202,0.681172,-0.057335,0.030136,0.050092,-0.083924,0.074026,-0.078604,0.990605,-0.080478,0.047473,0.067578,-0.058123,-0.064489,0.080223,0.992989,-0.092332,0.054216,0.073487,0.000001,0.000049,0.000000,1.000000
0.100000,-0.016473,0.025443,0.025997,0.038541,-0.158588,0.072759,0.983906,-0.023735,0.052812,0.080442,0.010212,0.172328,-0.050074,0.983713,-0.025004,0.067270,0.115482,0.003287,0.012198,-0.025853,0.999586,-0.025638,0.076221,0.138063,-0.072068,0.020174,-0.015902,0.997069,-0.024388,0.081264,0.148416,0.000001,0.002195,0.000000,0.999998,0.011328,-0.003510,0.040436,0.018309,0.140365,-0.207036,0.968039,0.017431,0.007076,0.084439,0.028202,-0.004874,0.091091,0.995431,0.019934,0.013629,0.114348,-0.013306,0.044007,-0.037610,0.998234,0.022985,0.016796,0.134177,-0.024019,-0.049407,0.000638,0.998490,0.024655,0.019922,0.145546,0.000000,-0.000739,0.000000,1.000000,0.001128,0.022168,0.028508,0.015148,-0.029561,-0.000725,0.999448,-0.003904,0.043638,0.085077,0.036385,0.079903,-0.010686,0.996081,-0.003830,0.057837,0.125588,-0.001997,0.004555,-0.011225,0.999925,-0.003524,0.066871,0.151613,-0.092967,0.007303,-0.034430,0.995047,-0.001743,0.072261,0.162416,0.000000,-0.003577,0.000000,0.999994,0.002326,0.027969,0.056200,0.000000,0.019156,0.000000,0.999817,0.008533,0.011629,0.032663,0.050160,0.129610,-0.052833,0.988885,0.008379,0.026883,0.086146,0.000000,-0.003875,0.000000,0.999993,0.012366,0.036144,0.123816,0.005742,-0.000626,-0.033621,0.999418,0.014964,0.042150,0.149573,-0.025034,-0.029504,-0.003432,0.999245,0.016146,0.045734,0.160900,-0.000001,0.000945,0.000000,1.000000,-0.034155,0.019359,0.030071,-0.004828,-0.377623,0.627202,0.681172,-0.057089,0.029319,0.050853,-0.083924,0.074026,-0.078604,0.990605,-0.080213,0.046339,0.068671,-0.058123,-0.064489,0.080223,0.992989,-0.092070,0.052934,0.074740,0.000001,0.000049,0.000000,1.000000
0.116667,-0.016445,0.025127,0.026321,0.038541,-0.158588,0.072759,0.983906,-0.023370,0.052131,0.080990,0.010212,0.172328,-0.050074,0.983713,-0.024388,0.066393,0.116119,0.003287,0.012198,-0.025853,0.999586,-0.024856,0.075220,0.138754,-0.072068,0.020174,-0.015902,0.997069,-0.023541,0.080222,0.149118,0.000001,0.002195,0.000000,0.999998,0.011836,-0.003596,0.040283,0.018309,0.140365,-0.207036,0.968039,0.018335,0.006828,0.084268,0.028202,-0.004874,0.091091,0.995431,0.021115,0.013253,0.114180,-0.013306,0.044007,-0.037610,0.998234,0.024361,0.016351,0.133989,-0.024019,-0.049407,0.000638,0.998490,0.026129,0.019436,0.145355,0.000000,-0.000739,0.000000,1.000000,0.001219,0.022031,0.028610,0.015148,-0.029561,-0.000725,0.999448,-0.003388,0.043151,0.085347,0.036385,0.079903,-0.010686,0.996081,-0.002997,0.057140,0.125929,-0.001997,0.004555,-0.011225,0.999925,-0.002486,0.066042,0.151997,-0.092967,0.007303,-0.034430,0.995047,-0.000638,0.071395,0.162806,0.000000,-0.003577,0.000000,0.999994,0.002676,0.027701,0.056317,0.000000,0.019156,0.000000,0.999817,0.008786,0.011552,0.032623,0.050160,0.129610,-0.052833,0.988885,0.009088,0.026526,0.086185,0.000000,-0.003875,0.000000,0.999993,0.013412,0.035634,0.123854,0.005742,-0.000626,-0.033621,0.999418,0.016245,0.041535,0.149611,-0.025034,-0.029504,-0.003432,0.999245,0.017519,0.045073,0.160943,-0.000001,0.000945,0.000000,1.000000,-0.034012,0.018829,0.030567,-0.004828,-0.377623,0.627202,0.681172,-0.056808,0.028429,0.051665,-0.083924,0.074026,-0.078604,0.990605,-0.079907,0.045102,0.069840,-0.058123,-0.064489,0.080223,0.992989,-0.091764,0.051537,0.076082,0.000001,0.000049,0.000000,1.000000
0.133333,-0.016412,0.024793,0.026655,0.038541,-0.158588,0.072759,0.983906,-0.022982,0.051423,0.081552,0.010212,0.172328,-0.050074,0.983713,-0.023736,0.065485,0.116769,0.003287,0.012198,-0.025853,0.999586,-0.024030,0.074184,0.139455,-0.072068,0.020174,-0.015902,0.997069,-0.022647,0.079145,0.149830,0.000001,0.002195,0.000000,0.999998,0.012367,-0.003673,0.040116,0.018309,0.140365,-0.207036,0.968039,0.019280,0.006591,0.084075,0.028202,-0.004874,0.091091,0.995431,0.022350,0.012887,0.113987,-0.013306,0.044007,-0.037610,0.998234,0.025802,0.015917,0.133772,-0.024019,-0.049407,0.000638,0.998490,0.027673,0.018962,0.145132,0.000000,-0.000739,0.000000,1.000000,0.001313,0.021890,0.028714,0.015148,-0.029561,-0.000725,0.999448,-0.002845,0.042653,0.085617,0.036385,0.079903,-0.010686,0.996081,-0.002122,0.056428,0.126268,-0.001997,0.004555,-0.011225,0.999925,-0.001396,0.065196,0.152375,-0.092967,0.007303,-0.034430,0.995047,0.000522,0.070512,0.163191,0.000000,-0.003577,0.000000,0.999994,0.003042,0.027429,0.056432,0.000000,0.019156,0.000000,0.999817,0.009049,0.011479,0.032577,0.050160,0.129610,-0.052833,0.988885,0.009831,0.026170,0.086213,0.000000,-0.003875,0.000000,0.999993,0.014508,0.035126,0.123876,0.005742,-0.000626,-0.033621,0.999418,0.017586,0.040921,0.149629,-0.025034,-0.029504,-0.003432,0.999245,0.018957,0.044413,0.160963,-0.000001,0.000945,0.000000,1.000000,-0.033852,0.018269,0.031080,-0.004828,-0.377623,0.627202,0.681172,-0.056499,0.027491,0.052505,-0.083924,0.074026,-0.078604,0.990605,-0.079566,0.043798,0.071050,-0.058123,-0.064489,0.080223,0.992989,-0.091419,0.050060,0.077470,0.000001,0.000049,0.000000,1.000000
0.150000,-0.016375,0.024452,0.026991,0.038541,-0.158588,0.072759,0.983906,-0.022581,0.050708,0.082110,0.010212,0.172328,-0.050074,0.983713,-0.023066,0.064573,0.117409,0.003287,0.012198,-0.025853,0.999586,-0.023183,0.073147,0.140144,-0.072068,0.020174,-0.015902,0.997069,-0.021730,0.078070,0.150528,0.000001,0.002195,0.000000,0.999998,0.012907,-0.003737,0.039939,0.018309,0.140365,-0.207036,0.968039,0.020242,0.006375,0.083866,0.028202,-0.004874,0.091091,0.995431,0.023608,0.012549,0.113771,-0.013306,0.044007,-0.037610,0.998234,0.027269,0.015515,0.133528,-0.024019,-0.049407,0.000638,0.998490,0.029243,0.018522,0.144880,0.000000,-0.000739,0.000000,1.000000,0.001407,0.021752,0.028814,0.015148,-0.029561,-0.000725,0.999448,-0.002292,0.042160,0.085877,0.036385,0.079903,-0.010686,0.996081,-0.001229,0.055726,0.126591,-0.001997,0.004555,-0.011225,0.999925,-0.000285,0.064363,0.152735,-0.092967,0.007303,-0.034430,0.995047,0.001704,0.069645,0.163555,0.000000,-0.003577,0.000000,0.999994,0.003414,0.027164,0.056539,0.000000,0.019156,0.000000,0.999817,0.009314,0.011413,0.032525,0.050160,0.129610,-0.052833,0.988885,0.010586,0.025827,0.086226,0.000000,-0.003875,0.000000,0.999993,0.015624,0.034639,0.123877,0.005742,-0.000626,-0.033621,0.999418,0.018951,0.040334,0.149621,-0.025034,-0.029504,-0.003432,0.999245,0.020422,0.043782,0.160957,-0.000001,0.000945,0.000000,1.000000,-0.033679,0.017695,0.031595,-0.004828,-0.377623,0.627202,0.681172,-0.056168,0.026529,0.053349,-0.083924,0.074026,-0.078604,0.990605,-0.079196,0.042458,0.072266,-0.058123,-0.064489,0.080223,0.992989,-0.091043,0.048544,0.078865,0.000001,0.000049,0.000000,1.000000
