UserID,Condition,Trial,Melody,PitchAcc(%),FingerAcc(%),TimingAcc(%),MeanTimingErr(ms),StdTimingErr(ms),ErrorRate(%),ErrorRate(P+F)%
1,Dynamic,1,B,100.0,100.0,61.4,243.85,239.72,7.72,0.0
1,Dynamic,R1,B,100.0,100.0,24.48,703.66,401.13,15.1,0.0
1,Static,2,A,100.0,71.43,62.24,237.11,256.99,10.41,2.86
1,Static,R1,A,7.14,0.0,36.2,507.99,1235.07,87.76,75.0
2,Dynamic,1,A,100.0,100.0,53.78,310.12,243.64,9.24,0.0
2,Dynamic,R1,A,100.0,100.0,28.36,630.16,606.1,14.33,0.0
2,Static,2,B,100.0,100.0,78.98,118.0,111.42,4.2,0.0
2,Static,R2,B,100.0,100.0,52.29,324.14,283.51,9.54,0.0
3,Dynamic,1,A,100.0,100.0,24.57,701.73,692.1,15.09,0.0
3,Dynamic,R2,A,100.0,100.0,47.79,369.21,267.17,10.44,0.0
3,Static,2,B,100.0,100.0,11.08,1099.86,986.88,17.78,0.0
3,Static,R2,B,100.0,100.0,69.59,181.3,162.07,6.08,0.0
4,Dynamic,2,B,100.0,100.0,29.19,615.63,570.2,14.16,0.0
4,Dynamic,R1,B,100.0,100.0,40.04,457.67,503.97,11.99,0.0
4,Static,2,A,100.0,92.86,18.39,846.68,1132.69,17.04,0.71
4,Static,R1,A,100.0,92.86,28.82,622.0,765.7,14.95,0.71
5,Dynamic,2,B,100.0,100.0,28.63,625.43,546.4,14.27,0.0
5,Dynamic,R2,B,100.0,100.0,73.38,154.77,111.33,5.32,0.0
5,Static,2,A,100.0,100.0,82.05,98.9,106.86,3.59,0.0
5,Static,R2,A,57.14,0.0,0.13,3327.3,3270.15,59.97,40.0
6,Dynamic,2,A,100.0,100.0,40.42,452.92,342.91,11.92,0.0
6,Dynamic,R2,A,100.0,100.0,42.44,428.52,313.48,11.51,0.0
6,Static,2,B,100.0,100.0,66.71,202.4,197.37,6.66,0.0
6,Static,R2,B,100.0,80.0,60.15,254.16,231.69,9.97,2.0
7,Dynamic,2,A,100.0,100.0,54.85,300.26,231.31,9.03,0.0
7,Dynamic,R2,A,100.0,100.0,45.16,397.46,227.68,10.97,0.0
7,Static,2,B,100.0,93.33,57.48,276.83,333.06,9.17,0.67
7,Static,R1,B,100.0,100.0,66.79,201.78,180.81,6.64,0.0
8,Dynamic,2,B,100.0,100.0,73.44,154.38,137.09,5.31,0.0
8,Dynamic,R2,B,93.33,86.67,26.65,661.15,766.86,20.67,6.0
8,Static,1,A,100.0,92.86,25.83,676.74,848.99,15.55,0.71
8,Static,R2,A,100.0,100.0,22.13,754.04,931.45,15.57,0.0
9,Dynamic,1,B,100.0,100.0,55.79,291.8,305.5,8.84,0.0
9,Dynamic,R1,B,100.0,100.0,7.91,1268.52,717.39,18.42,0.0
9,Static,2,A,100.0,50.0,59.05,263.36,275.4,13.19,5.0
9,Static,R1,A,92.86,57.14,27.9,638.32,694.59,23.71,9.29
10,Dynamic,2,A,92.86,64.29,32.94,555.24,605.93,21.98,8.57
10,Dynamic,R1,A,71.43,42.86,38.96,471.29,542.37,37.92,25.71
10,Static,1,B,100.0,100.0,74.39,147.95,143.1,5.12,0.0
10,Static,R1,B,100.0,100.0,53.29,314.7,273.72,9.34,0.0
11,Dynamic,1,A,100.0,100.0,85.5,78.35,95.47,2.9,0.0
11,Dynamic,R1,A,100.0,100.0,70.13,177.43,161.87,5.97,0.0
11,Static,1,B,100.0,93.33,69.42,182.53,149.3,6.78,0.67
11,Static,R2,B,100.0,100.0,74.28,148.65,113.13,5.14,0.0
12,Dynamic,1,B,100.0,93.33,42.33,429.8,343.22,12.2,0.67
12,Dynamic,R2,B,100.0,93.33,66.84,201.44,235.92,7.3,0.67
12,Static,1,A,100.0,100.0,71.11,170.49,191.31,5.78,0.0
12,Static,R1,A,100.0,100.0,80.75,106.9,80.26,3.85,0.0
13,Dynamic,1,B,100.0,80.0,79.73,113.28,92.91,6.05,2.0
13,Dynamic,R2,B,100.0,100.0,43.4,417.33,373.58,11.32,0.0
13,Static,1,A,100.0,92.86,86.36,73.29,47.56,3.44,0.71
13,Static,R1,A,100.0,71.43,27.12,652.5,408.87,17.43,2.86
14,Dynamic,1,A,100.0,64.29,0.02,4293.96,2133.18,23.57,3.57
14,Dynamic,R1,A,100.0,78.57,0.01,4516.69,2173.92,22.14,2.14
14,Static,2,B,100.0,93.33,41.36,441.47,349.04,12.4,0.67
14,Static,R2,B,100.0,60.0,16.22,909.32,531.99,20.76,4.0
15,Dynamic,1,A,100.0,92.86,26.23,669.17,722.08,15.47,0.71
15,Dynamic,R2,A,100.0,100.0,34.51,532.0,707.22,13.1,0.0
15,Static,2,B,46.67,40.0,23.51,723.85,1089.54,58.63,43.33
15,Static,R2,B,6.67,0.0,76.47,134.12,83.7,80.04,75.33
16,Dynamic,1,B,100.0,100.0,20.64,788.87,719.07,15.87,0.0
16,Dynamic,R1,B,100.0,100.0,30.57,592.63,437.25,13.89,0.0
16,Static,2,A,85.71,14.29,37.22,494.16,461.69,31.13,18.57
16,Static,R1,A,85.71,64.29,65.79,209.36,257.96,20.41,13.57
17,Dynamic,2,B,100.0,100.0,76.12,136.41,123.62,4.78,0.0
17,Dynamic,R2,B,100.0,100.0,70.72,173.23,126.13,5.86,0.0
17,Static,1,A,100.0,100.0,29.62,608.37,823.84,14.08,0.0
17,Static,R2,A,0.0,0.0,78.71,119.68,144.67,84.26,80.0
18,Dynamic,1,A,100.0,71.43,86.1,74.81,70.56,5.64,2.86
18,Dynamic,R1,A,100.0,100.0,16.09,913.33,763.53,16.78,0.0
18,Static,2,B,100.0,60.0,51.91,327.85,447.42,13.62,4.0
18,Static,R2,B,100.0,46.67,70.1,177.62,182.12,11.31,5.33
19,Dynamic,2,A,100.0,100.0,85.45,78.61,73.96,2.91,0.0
19,Dynamic,R2,A,100.0,100.0,80.43,108.87,108.2,3.91,0.0
