Participant,Condition,Mental,Physical,Temporal,Effort,Frustration,Performance,RTLX
1,Dynamic,0.0,0.0,8.0,0.0,5.0,10.0,3.8333333333333335
1,Static,0.0,0.0,8.0,10.0,5.0,10.0,5.5
2,Dynamic,10.0,15.0,0.0,2.0,2.0,10.0,6.5
2,Static,20.0,10.0,0.0,2.0,2.0,20.0,9.0
3,Dynamic,20.0,40.0,3.0,4.0,50.0,25.0,23.666666666666668
3,Static,21.0,51.0,3.0,4.0,54.0,25.0,26.333333333333332
4,Dynamic,5.0,23.0,8.0,20.0,10.0,40.0,17.666666666666668
4,Static,8.0,19.0,8.0,35.0,20.0,51.0,23.5
5,Dynamic,24.0,30.0,20.0,80.0,50.0,0.0,34.0
5,Static,31.0,31.0,20.0,100.0,90.0,0.0,45.333333333333336
6,Dynamic,50.0,80.0,30.0,40.0,20.0,45.0,44.166666666666664
6,Static,65.0,76.0,40.0,59.0,45.0,60.0,57.5
7,Dynamic,33.0,75.0,15.0,55.0,60.0,50.0,48.0
7,Static,49.0,73.0,15.0,61.0,71.0,70.0,56.5
8,Dynamic,34.0,25.0,20.0,20.0,42.0,30.0,28.5
8,Static,30.0,29.0,24.0,50.0,56.0,46.0,39.166666666666664
9,Dynamic,68.0,42.0,30.0,40.0,30.0,60.0,45.0
9,Static,68.0,42.0,33.0,47.0,30.0,67.0,47.833333333333336
10,Dynamic,65.0,25.0,40.0,40.0,10.0,20.0,33.333333333333336
10,Static,65.0,25.0,40.0,40.0,10.0,20.0,33.333333333333336
11,Dynamic,5.0,5.0,5.0,50.0,0.0,20.0,14.166666666666666
11,Static,10.0,5.0,5.0,50.0,0.0,35.0,17.5
12,Dynamic,70.0,90.0,49.0,60.0,60.0,35.0,60.666666666666664
12,Static,70.0,90.0,49.0,80.0,61.0,40.0,65.0
13,Dynamic,0.0,0.0,0.0,0.0,59.0,35.0,15.666666666666666
13,Static,0.0,0.0,0.0,0.0,59.0,41.0,16.666666666666668
14,Dynamic,40.0,0.0,28.0,30.0,10.0,50.0,26.333333333333332
14,Static,40.0,0.0,28.0,30.0,25.0,80.0,33.833333333333336
15,Dynamic,0.0,20.0,10.0,0.0,0.0,40.0,11.666666666666666
15,Static,0.0,20.0,10.0,0.0,0.0,50.0,13.333333333333334
16,Dynamic,21.0,40.0,3.0,10.0,0.0,55.0,21.5
16,Static,41.0,36.0,3.0,23.0,0.0,77.0,30.0
17,Dynamic,30.0,50.0,12.0,20.0,7.0,15.0,22.333333333333332
17,Static,30.0,40.0,12.0,38.0,7.0,21.0,24.666666666666668
18,Dynamic,0.0,0.0,0.0,0.0,0.0,10.0,1.6666666666666667
18,Static,0.0,0.0,0.0,0.0,0.0,20.0,3.3333333333333335
19,Dynamic,10.0,20.0,5.0,60.0,50.0,15.0,26.666666666666668
19,Static,10.0,20.0,5.0,60.0,55.0,30.0,30.0
20,Dynamic,85.0,18.0,15.0,50.0,16.0,20.0,34.0
20,Static,82.0,18.0,20.0,62.0,16.0,21.0,36.5
21,Dynamic,42.0,25.0,60.0,55.0,21.0,30.0,38.833333333333336
21,Static,42.0,25.0,60.0,60.0,31.0,40.0,43.0
22,Dynamic,5.0,5.0,10.0,5.0,0.0,20.0,7.5
22,Static,5.0,5.0,10.0,5.0,10.0,25.0,10.0
23,Dynamic,10.0,18.0,4.0,50.0,30.0,35.0,24.5
23,Static,9.0,18.0,4.0,90.0,40.0,50.0,35.166666666666664
24,Dynamic,0.0,20.0,0.0,70.0,0.0,10.0,16.666666666666668
24,Static,0.0,20.0,0.0,85.0,0.0,15.0,20.0
25,Dynamic,50.0,39.0,32.0,50.0,10.0,45.0,37.666666666666664
25,Static,56.0,39.0,32.0,51.0,10.0,51.0,39.833333333333336
26,Dynamic,60.0,90.0,60.0,60.0,70.0,15.0,59.166666666666664
26,Static,80.0,90.0,60.0,75.0,70.0,20.0,65.83333333333333
27,Dynamic,40.0,60.0,35.0,58.0,22.0,55.0,45.0
27,Static,51.0,66.0,35.0,58.0,22.0,62.0,49.0
28,Dynamic,30.0,20.0,45.0,40.0,20.0,40.0,32.5
28,Static,30.0,20.0,45.0,40.0,25.0,45.0,34.166666666666664
29,Dynamic,70.0,11.0,50.0,23.0,40.0,28.0,37.0
29,Static,68.0,11.0,50.0,23.0,50.0,28.0,38.333333333333336
30,Dynamic,20.0,48.0,29.0,30.0,0.0,18.0,24.166666666666668
30,Static,41.0,51.0,29.0,30.0,2.0,18.0,28.5
