participant,phase,condition,block,index_score
User1,Practice,Dynamic,LearningExp,4.428571428571429
User1,Practice,Dynamic,VisualDesign,4.0
User1,Practice,Static,LearningExp,3.0
User1,Recall,Dynamic,Retention,3.4285714285714284
User1,Recall,Static,Retention,3.4285714285714284
User10,Practice,Dynamic,LearningExp,3.4285714285714284
User10,Practice,Dynamic,VisualDesign,2.75
User10,Practice,Static,LearningExp,3.2857142857142856
User10,Recall,Dynamic,Retention,3.857142857142857
User10,Recall,Static,Retention,3.857142857142857
User11,Practice,Dynamic,LearningExp,4.428571428571429
User11,Practice,Dynamic,VisualDesign,3.75
User11,Practice,Static,LearningExp,3.4285714285714284
User11,Recall,Dynamic,Retention,3.2857142857142856
User11,Recall,Static,Retention,3.2857142857142856
User12,Practice,Dynamic,LearningExp,4.857142857142857
User12,Practice,Dynamic,VisualDesign,3.75
User12,Practice,Static,LearningExp,4.428571428571429
User12,Recall,Dynamic,Retention,3.7142857142857144
User12,Recall,Static,Retention,3.0
User13,Practice,Dynamic,LearningExp,4.714285714285714
User13,Practice,Dynamic,VisualDesign,3.25
User13,Practice,Static,LearningExp,3.7142857142857144
User13,Recall,Dynamic,Retention,3.7142857142857144
User13,Recall,Static,Retention,2.857142857142857
User14,Practice,Dynamic,LearningExp,4.571428571428571
User14,Practice,Dynamic,VisualDesign,3.75
User14,Practice,Static,LearningExp,3.5714285714285716
User14,Recall,Dynamic,Retention,3.5714285714285716
User14,Recall,Static,Retention,2.7142857142857144
User15,Practice,Dynamic,LearningExp,5.0
User15,Practice,Dynamic,VisualDesign,4.75
User15,Practice,Static,LearningExp,4.857142857142857
User15,Recall,Dynamic,Retention,4.285714285714286
User15,Recall,Static,Retention,2.4285714285714284
User16,Practice,Dynamic,LearningExp,4.285714285714286
User16,Practice,Dynamic,VisualDesign,1.5
User16,Practice,Static,LearningExp,4.285714285714286
User16,Recall,Dynamic,Retention,3.2857142857142856
User16,Recall,Static,Retention,3.2857142857142856
User17,Practice,Dynamic,LearningExp,3.7142857142857144
User17,Practice,Dynamic,VisualDesign,4.0
User17,Practice,Static,LearningExp,3.4285714285714284
User17,Recall,Dynamic,Retention,3.142857142857143
User17,Recall,Static,Retention,3.2857142857142856
User18,Practice,Dynamic,LearningExp,4.714285714285714
User18,Practice,Dynamic,VisualDesign,3.75
User18,Practice,Static,LearningExp,3.7142857142857144
User18,Recall,Dynamic,Retention,4.428571428571429
User18,Recall,Static,Retention,3.142857142857143
User19,Practice,Dynamic,LearningExp,4.285714285714286
User19,Practice,Dynamic,VisualDesign,4.25
User19,Practice,Static,LearningExp,3.142857142857143
User19,Recall,Dynamic,Retention,4.428571428571429
User19,Recall,Static,Retention,3.7142857142857144
User2,Practice,Dynamic,LearningExp,4.857142857142857
User2,Practice,Dynamic,VisualDesign,2.75
User2,Practice,Static,LearningExp,4.428571428571429
User2,Recall,Dynamic,Retention,3.7142857142857144
User2,Recall,Static,Retention,3.857142857142857
User20,Practice,Dynamic,LearningExp,4.142857142857143
User20,Practice,Dynamic,VisualDesign,3.25
User20,Practice,Static,LearningExp,4.142857142857143
User20,Recall,Dynamic,Retention,4.0
User20,Recall,Static,Retention,3.2857142857142856
User21,Practice,Dynamic,LearningExp,4.285714285714286
User21,Practice,Dynamic,VisualDesign,4.0
User21,Practice,Static,LearningExp,3.7142857142857144
User21,Recall,Dynamic,Retention,4.285714285714286
User21,Recall,Static,Retention,3.4285714285714284
