participant,phase,condition,block,item_id,rating,qtext
User1,Practice,Static,LearningExp,QID3_1,3.0,1. The static ghost hand helped me understand how to play the melody.
User2,Practice,Static,LearningExp,QID3_1,5.0,1. The static ghost hand helped me understand how to play the melody.
User3,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User4,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User5,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User6,Practice,Static,LearningExp,QID3_1,5.0,1. The static ghost hand helped me understand how to play the melody.
User7,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User8,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User9,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User10,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User11,Practice,Static,LearningExp,QID3_1,5.0,1. The static ghost hand helped me understand how to play the melody.
User12,Practice,Static,LearningExp,QID3_1,5.0,1. The static ghost hand helped me understand how to play the melody.
User13,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User14,Practice,Static,LearningExp,QID3_1,3.0,1. The static ghost hand helped me understand how to play the melody.
User15,Practice,Static,LearningExp,QID3_1,5.0,1. The static ghost hand helped me understand how to play the melody.
User16,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User17,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User18,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User19,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User20,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User21,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User22,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User23,Practice,Static,LearningExp,QID3_1,5.0,1. The static ghost hand helped me understand how to play the melody.
User24,Practice,Static,LearningExp,QID3_1,5.0,1. The static ghost hand helped me understand how to play the melody.
User25,Practice,Static,LearningExp,QID3_1,3.0,1. The static ghost hand helped me understand how to play the melody.
User26,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User27,Practice,Static,LearningExp,QID3_1,4.0,1. The static ghost hand helped me understand how to play the melody.
User28,Practice,Static,LearningExp,QID3_1,5.0,1. The static ghost hand helped me understand how to play the melody.
User29,Practice,Static,LearningExp,QID3_1,5.0,1. The static ghost hand helped me understand how to play the melody.
User30,Practice,Static,LearningExp,QID3_1,5.0,1. The static ghost hand helped me understand how to play the melody.
User1,Practice,Static,LearningExp,QID3_2,3.0,2. The static ghost hand's finger motion was easy to follow.
User2,Practice,Static,LearningExp,QID3_2,5.0,2. The static ghost hand's finger motion was easy to follow.
User3,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User4,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User5,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
User6,Practice,Static,LearningExp,QID3_2,4.0,2. The static ghost hand's finger motion was easy to follow.
