user,melody,chunkIndex,condition,slope,intercept,n_points
1,A,0,Static,-0.00606143,0.608049961,10
1,A,1,Static,0.024949872,0.697389789,10
1,A,2,Static,-0.016173534,0.727711936,10
1,B,0,Dynamic,-6.57E-05,0.538657932,10
1,B,1,Dynamic,-0.031674212,0.630946984,10
1,B,2,Dynamic,-0.049629114,0.667697146,10
10,A,0,Dynamic,3.66E-05,0.856122461,10
10,A,1,Dynamic,0.008289794,0.821014413,10
10,A,2,Dynamic,0.002436587,0.81285191,10
11,A,0,Dynamic,0.000904957,0.330360709,10
11,A,1,Dynamic,-0.048644716,0.712661457,10
11,A,2,Dynamic,0.020853161,0.393451977,10
11,B,0,Static,0.007312228,0.314871055,10
11,B,1,Static,0.006395187,0.285160006,9
11,B,2,Static,-0.050865341,0.690733662,10
12,A,0,Static,-0.041045508,0.699652272,10
12,A,1,Static,-0.017122103,0.315579775,10
12,A,2,Static,0.045608504,0.442601885,10
12,B,0,Dynamic,0.011232598,0.502743178,10
12,B,1,Dynamic,-0.027706377,0.634878622,10
12,B,2,Dynamic,0.025995919,0.436731768,10
13,A,0,Static,-0.055536396,0.765781427,10
13,A,1,Static,-0.063692311,1.024637545,10
13,A,2,Static,0.042646716,0.241469852,10
13,B,0,Dynamic,-0.052659149,0.508562342,10
13,B,1,Dynamic,-0.004988778,0.123430589,10
13,B,2,Dynamic,-0.056151704,0.632752375,10
14,A,0,Dynamic,-0.023279454,0.83509301,10
14,A,1,Dynamic,-0.017654284,0.853104309,10
14,A,2,Dynamic,0.002257254,0.645675229,10
14,B,0,Static,-0.066207085,0.766981788,10
14,B,1,Static,0.019660732,0.22689325,10
14,B,2,Static,-0.00839071,0.425652501,10
15,A,0,Dynamic,-0.040507198,0.574935947,10
15,A,1,Dynamic,-0.001807117,0.852053924,10
15,A,2,Dynamic,-0.000885384,0.803527009,10
15,B,0,Static,-0.014260727,0.329792972,10
15,B,1,Static,-0.046488379,0.555324181,9
15,B,2,Static,0.008282856,0.18579768,10
16,A,0,Dynamic,-0.051527254,0.922083283,10
16,A,1,Dynamic,-0.007615817,0.774926988,10
16,A,2,Dynamic,0.020647459,0.578333858,10
16,B,0,Static,0.008136582,0.537100691,10
16,B,1,Static,-0.022082149,0.851821522,10
16,B,2,Static,0.054973367,0.042659305,10
17,A,0,Static,-0.036922662,0.735062998,10
17,A,1,Static,-0.023730291,0.932937356,10
17,A,2,Static,-0.025922099,0.805690093,10
17,B,0,Dynamic,-0.016295823,0.444146811,10
17,B,1,Dynamic,-0.012413473,0.474583862,10
17,B,2,Dynamic,-0.039103795,0.600575267,10
18,A,0,Static,0.035530075,0.155768678,10
