Index,Static Immediate,Dynamic Immediate,Static Retention,Dynamic Retention
,,,,
1,0.641,0.775,0.18,0.523
,,,,
2,0.349,0.652,0.315,0.584
,,,,
3,0.689,0.741,0.569,0.934
,,,,
4,0.285,0.535,0.752,0.502
,,,,
5,0.462,0.622,0.028,0.753
,,,,
6,0.327,0.607,0.508,0.603
,,,,
7,0.609,0.858,0.08,0.742
,,,,
8,0.265,0.66,0.177,0.542
,,,,
9,0.18,0.816,0.424,0.652
,,,,
10,0.595,0.227,0.47,0.584
,,,,
11,0.437,0.208,0.385,0.601
,,,,
12,0.457,0.477,0.348,0.599
,,,,
13,0.48,0.808,0.616,0.618
,,,,
14,0.806,0.85,0.663,0.889
,,,,
15,0.385,0.487,0.031,0.357
,,,,
16,0.161,0.362,0.23,0.527
,,,,
17,0.292,0.722,0.539,0.726
,,,,
18,0.802,0.501,0.553,0.424
,,,,
19,0.498,0.713,0.44,0.33
,,,,
20,0.271,0.392,0.509,0.417
,,,,
21,0.469,0.607,0.648,0.75
,,,,
22,0.446,0.746,0.226,0.648
,,,,
23,0.404,0.347,0.44,0.508
,,,,
24,0.398,0.705,0.718,0.682
,,,,
30,0.419,0.424,0.667,0.762
,,,,
26,0.672,0.705,0.258,0.426
,,,,
27,0.538,0.606,0.299,0.625
,,,,
28,0.48,0.676,0.298,0.457
,,,,
29,0.558,0.657,0.486,0.703
,,,,
30,0.59,0.8,0.549,0.862
